airport,month_year,freight_mail_value
"Rockford, IL: Chicago/Rockford International (RFD)",May 2018,550m
"Rockford, IL: Chicago/Rockford International (RFD)",June 2018,573m
"Rockford, IL: Chicago/Rockford International (RFD)",July 2018,599m
"Rockford, IL: Chicago/Rockford International (RFD)",August 2018,620m
"Rockford, IL: Chicago/Rockford International (RFD)",September 2018,638m
"Rockford, IL: Chicago/Rockford International (RFD)",October 2018,653m
"Rockford, IL: Chicago/Rockford International (RFD)",November 2018,658m
"Rockford, IL: Chicago/Rockford International (RFD)",December 2018,660m
"Rockford, IL: Chicago/Rockford International (RFD)",January 2019,657m
"Rockford, IL: Chicago/Rockford International (RFD)",February 2019,659m
"Rockford, IL: Chicago/Rockford International (RFD)",March 2019,657m
"Rockford, IL: Chicago/Rockford International (RFD)",April 2019,660m
"Rockford, IL: Chicago/Rockford International (RFD)",May 2019,663m
"Rockford, IL: Chicago/Rockford International (RFD)",June 2019,668m
"Rockford, IL: Chicago/Rockford International (RFD)",July 2019,677m
"Rockford, IL: Chicago/Rockford International (RFD)",August 2019,681m
"Rockford, IL: Chicago/Rockford International (RFD)",September 2019,685m
"Rockford, IL: Chicago/Rockford International (RFD)",October 2019,694m
"Rockford, IL: Chicago/Rockford International (RFD)",November 2019,701m
"Rockford, IL: Chicago/Rockford International (RFD)",December 2019,710m
"Rockford, IL: Chicago/Rockford International (RFD)",January 2020,720m
"Rockford, IL: Chicago/Rockford International (RFD)",February 2020,727m
"Rockford, IL: Chicago/Rockford International (RFD)",March 2020,744m
"Rockford, IL: Chicago/Rockford International (RFD)",April 2020,756m
"Rockford, IL: Chicago/Rockford International (RFD)",May 2020,755m
"Rockford, IL: Chicago/Rockford International (RFD)",June 2020,766m
"Rockford, IL: Chicago/Rockford International (RFD)",July 2020,782m
"Rockford, IL: Chicago/Rockford International (RFD)",August 2020,785m
"Rockford, IL: Chicago/Rockford International (RFD)",September 2020,800m
"Rockford, IL: Chicago/Rockford International (RFD)",October 2020,813m
"Rockford, IL: Chicago/Rockford International (RFD)",November 2020,823m
"Rockford, IL: Chicago/Rockford International (RFD)",December 2020,844m
"Rockford, IL: Chicago/Rockford International (RFD)",January 2021,856m
"Rockford, IL: Chicago/Rockford International (RFD)",February 2021,864m
"Rockford, IL: Chicago/Rockford International (RFD)",March 2021,878m
"Rockford, IL: Chicago/Rockford International (RFD)",April 2021,893m
"Rockford, IL: Chicago/Rockford International (RFD)",May 2021,908m
"Rockford, IL: Chicago/Rockford International (RFD)",June 2021,919m
"Rockford, IL: Chicago/Rockford International (RFD)",July 2021,918m
"Rockford, IL: Chicago/Rockford International (RFD)",August 2021,926m
"Rockford, IL: Chicago/Rockford International (RFD)",September 2021,927m
"Rockford, IL: Chicago/Rockford International (RFD)",October 2021,930m
"Rockford, IL: Chicago/Rockford International (RFD)",November 2021,939m
"Rockford, IL: Chicago/Rockford International (RFD)",December 2021,944m
"Rockford, IL: Chicago/Rockford International (RFD)",January 2022,949m
"Rockford, IL: Chicago/Rockford International (RFD)",February 2022,957m
"Rockford, IL: Chicago/Rockford International (RFD)",March 2022,957m
"Rockford, IL: Chicago/Rockford International (RFD)",April 2022,948m
"Rockford, IL: Chicago/Rockford International (RFD)",May 2022,948m
"Rockford, IL: Chicago/Rockford International (RFD)",June 2022,947m
"Rockford, IL: Chicago/Rockford International (RFD)",July 2022,947m
"Rockford, IL: Chicago/Rockford International (RFD)",August 2022,954m
"Rockford, IL: Chicago/Rockford International (RFD)",September 2022,958m
"Rockford, IL: Chicago/Rockford International (RFD)",October 2022,955m
"Rockford, IL: Chicago/Rockford International (RFD)",November 2022,961m
"Rockford, IL: Chicago/Rockford International (RFD)",December 2022,958m
"Rockford, IL: Chicago/Rockford International (RFD)",January 2023,957m
"Rockford, IL: Chicago/Rockford International (RFD)",February 2023,953m
"Rockford, IL: Chicago/Rockford International (RFD)",March 2023,949m
"Rockford, IL: Chicago/Rockford International (RFD)",April 2023,947m
"Rockford, IL: Chicago/Rockford International (RFD)",May 2023,946m
"Rockford, IL: Chicago/Rockford International (RFD)",June 2023,939m
"Rockford, IL: Chicago/Rockford International (RFD)",July 2023,932m
"Rockford, IL: Chicago/Rockford International (RFD)",August 2023,932m
"Rockford, IL: Chicago/Rockford International (RFD)",September 2023,927m
"Rockford, IL: Chicago/Rockford International (RFD)",October 2023,931m
"Rockford, IL: Chicago/Rockford International (RFD)",November 2023,927m
"Rockford, IL: Chicago/Rockford International (RFD)",December 2023,919m
"Rockford, IL: Chicago/Rockford International (RFD)",January 2024,911m
"Rockford, IL: Chicago/Rockford International (RFD)",February 2024,914m
"Rockford, IL: Chicago/Rockford International (RFD)",March 2024,911m
"Rockford, IL: Chicago/Rockford International (RFD)",April 2024,910m
"Rockford, IL: Chicago/Rockford International (RFD)",May 2024,913m
"Rockford, IL: Chicago/Rockford International (RFD)",June 2024,907m
"Rockford, IL: Chicago/Rockford International (RFD)",July 2024,905m
"Chicago, IL: Chicago Midway International (MDW)",December 2006,65m
"Chicago, IL: Chicago Midway International (MDW)",January 2007,63m
"Chicago, IL: Chicago Midway International (MDW)",February 2007,61m
"Chicago, IL: Chicago Midway International (MDW)",March 2007,59m
"Chicago, IL: Chicago Midway International (MDW)",April 2007,58m
"Chicago, IL: Chicago Midway International (MDW)",May 2007,57m
"Chicago, IL: Chicago Midway International (MDW)",June 2007,57m
"Chicago, IL: Chicago Midway International (MDW)",July 2007,57m
"Chicago, IL: Chicago Midway International (MDW)",August 2007,57m
"Chicago, IL: Chicago Midway International (MDW)",September 2007,57m
"Chicago, IL: Chicago Midway International (MDW)",October 2007,58m
"Chicago, IL: Chicago Midway International (MDW)",November 2007,57m
"Chicago, IL: Chicago Midway International (MDW)",December 2007,57m
"Chicago, IL: Chicago Midway International (MDW)",January 2008,57m
"Chicago, IL: Chicago Midway International (MDW)",February 2008,57m
"Chicago, IL: Chicago Midway International (MDW)",March 2008,57m
"Chicago, IL: Chicago Midway International (MDW)",April 2008,58m
"Chicago, IL: Chicago Midway International (MDW)",May 2008,57m
"Chicago, IL: Chicago Midway International (MDW)",June 2008,57m
"Chicago, IL: Chicago Midway International (MDW)",July 2008,58m
"Chicago, IL: Chicago Midway International (MDW)",August 2008,58m
"Chicago, IL: Chicago Midway International (MDW)",September 2008,59m
"Chicago, IL: Chicago Midway International (MDW)",October 2008,59m
"Chicago, IL: Chicago Midway International (MDW)",November 2008,59m
"Chicago, IL: Chicago Midway International (MDW)",December 2008,58m
"Chicago, IL: Chicago Midway International (MDW)",January 2009,57m
"Chicago, IL: Chicago Midway International (MDW)",February 2009,57m
"Chicago, IL: Chicago Midway International (MDW)",March 2009,56m
"Chicago, IL: Chicago Midway International (MDW)",April 2009,55m
"Chicago, IL: Chicago Midway International (MDW)",May 2009,54m
"Chicago, IL: Chicago Midway International (MDW)",June 2009,53m
"Chicago, IL: Chicago Midway International (MDW)",July 2009,52m
"Chicago, IL: Chicago Midway International (MDW)",August 2009,51m
"Chicago, IL: Chicago Midway International (MDW)",September 2009,51m
"Chicago, IL: Chicago Midway International (MDW)",October 2009,49m
"Chicago, IL: Chicago Midway International (MDW)",November 2009,49m
"Chicago, IL: Chicago Midway International (MDW)",December 2009,50m
"Chicago, IL: Chicago Midway International (MDW)",January 2010,51m
"Chicago, IL: Chicago Midway International (MDW)",February 2010,51m
"Chicago, IL: Chicago Midway International (MDW)",March 2010,52m
"Chicago, IL: Chicago Midway International (MDW)",April 2010,52m
"Chicago, IL: Chicago Midway International (MDW)",May 2010,52m
"Chicago, IL: Chicago Midway International (MDW)",June 2010,53m
"Chicago, IL: Chicago Midway International (MDW)",July 2010,54m
"Chicago, IL: Chicago Midway International (MDW)",August 2010,54m
"Chicago, IL: Chicago Midway International (MDW)",September 2010,54m
"Chicago, IL: Chicago Midway International (MDW)",October 2010,54m
"Chicago, IL: Chicago Midway International (MDW)",November 2010,54m
"Chicago, IL: Chicago Midway International (MDW)",December 2010,52m
"Chicago, IL: Chicago Midway International (MDW)",January 2011,52m
"Chicago, IL: Chicago Midway International (MDW)",February 2011,52m
"Chicago, IL: Chicago Midway International (MDW)",March 2011,52m
"Chicago, IL: Chicago Midway International (MDW)",April 2011,52m
"Chicago, IL: Chicago Midway International (MDW)",May 2011,52m
"Chicago, IL: Chicago Midway International (MDW)",June 2011,51m
"Chicago, IL: Chicago Midway International (MDW)",July 2011,51m
"Chicago, IL: Chicago Midway International (MDW)",August 2011,51m
"Chicago, IL: Chicago Midway International (MDW)",September 2011,51m
"Chicago, IL: Chicago Midway International (MDW)",October 2011,51m
"Chicago, IL: Chicago Midway International (MDW)",November 2011,51m
"Chicago, IL: Chicago Midway International (MDW)",December 2011,52m
"Chicago, IL: Chicago Midway International (MDW)",January 2012,52m
"Chicago, IL: Chicago Midway International (MDW)",February 2012,53m
"Chicago, IL: Chicago Midway International (MDW)",March 2012,54m
"Chicago, IL: Chicago Midway International (MDW)",April 2012,54m
"Chicago, IL: Chicago Midway International (MDW)",May 2012,55m
"Chicago, IL: Chicago Midway International (MDW)",June 2012,55m
"Chicago, IL: Chicago Midway International (MDW)",July 2012,56m
"Chicago, IL: Chicago Midway International (MDW)",August 2012,56m
"Chicago, IL: Chicago Midway International (MDW)",September 2012,56m
"Chicago, IL: Chicago Midway International (MDW)",October 2012,56m
"Chicago, IL: Chicago Midway International (MDW)",November 2012,57m
"Chicago, IL: Chicago Midway International (MDW)",December 2012,56m
"Chicago, IL: Chicago Midway International (MDW)",January 2013,56m
"Chicago, IL: Chicago Midway International (MDW)",February 2013,56m
"Chicago, IL: Chicago Midway International (MDW)",March 2013,55m
"Chicago, IL: Chicago Midway International (MDW)",April 2013,55m
"Chicago, IL: Chicago Midway International (MDW)",May 2013,54m
"Chicago, IL: Chicago Midway International (MDW)",June 2013,53m
"Chicago, IL: Chicago Midway International (MDW)",July 2013,54m
"Chicago, IL: Chicago Midway International (MDW)",August 2013,54m
"Chicago, IL: Chicago Midway International (MDW)",September 2013,54m
"Chicago, IL: Chicago Midway International (MDW)",October 2013,53m
"Chicago, IL: Chicago Midway International (MDW)",November 2013,52m
"Chicago, IL: Chicago Midway International (MDW)",December 2013,52m
"Chicago, IL: Chicago Midway International (MDW)",January 2014,51m
"Chicago, IL: Chicago Midway International (MDW)",February 2014,50m
"Chicago, IL: Chicago Midway International (MDW)",March 2014,51m
"Chicago, IL: Chicago Midway International (MDW)",April 2014,51m
"Chicago, IL: Chicago Midway International (MDW)",May 2014,51m
"Chicago, IL: Chicago Midway International (MDW)",June 2014,51m
"Chicago, IL: Chicago Midway International (MDW)",July 2014,51m
"Chicago, IL: Chicago Midway International (MDW)",August 2014,51m
"Chicago, IL: Chicago Midway International (MDW)",September 2014,50m
"Chicago, IL: Chicago Midway International (MDW)",October 2014,51m
"Chicago, IL: Chicago Midway International (MDW)",November 2014,51m
"Chicago, IL: Chicago Midway International (MDW)",December 2014,51m
"Chicago, IL: Chicago Midway International (MDW)",January 2015,52m
"Chicago, IL: Chicago Midway International (MDW)",February 2015,52m
"Chicago, IL: Chicago Midway International (MDW)",March 2015,52m
"Chicago, IL: Chicago Midway International (MDW)",April 2015,53m
"Chicago, IL: Chicago Midway International (MDW)",May 2015,52m
"Chicago, IL: Chicago Midway International (MDW)",June 2015,53m
"Chicago, IL: Chicago Midway International (MDW)",July 2015,52m
"Chicago, IL: Chicago Midway International (MDW)",August 2015,52m
"Chicago, IL: Chicago Midway International (MDW)",September 2015,53m
"Chicago, IL: Chicago Midway International (MDW)",October 2015,53m
"Chicago, IL: Chicago Midway International (MDW)",November 2015,52m
"Chicago, IL: Chicago Midway International (MDW)",December 2015,51m
"Chicago, IL: Chicago Midway International (MDW)",January 2016,47m
"Chicago, IL: Chicago Midway International (MDW)",February 2016,43m
"Chicago, IL: Chicago Midway International (MDW)",March 2016,39m
"Chicago, IL: Chicago Midway International (MDW)",April 2016,38m
"Chicago, IL: Chicago Midway International (MDW)",May 2016,37m
"Chicago, IL: Chicago Midway International (MDW)",June 2016,37m
"Chicago, IL: Chicago Midway International (MDW)",July 2016,36m
"Chicago, IL: Chicago Midway International (MDW)",August 2016,36m
"Chicago, IL: Chicago Midway International (MDW)",September 2016,35m
"Chicago, IL: Chicago Midway International (MDW)",October 2016,34m
"Chicago, IL: Chicago Midway International (MDW)",November 2016,34m
"Chicago, IL: Chicago Midway International (MDW)",December 2016,34m
"Chicago, IL: Chicago Midway International (MDW)",January 2017,37m
"Chicago, IL: Chicago Midway International (MDW)",February 2017,40m
"Chicago, IL: Chicago Midway International (MDW)",March 2017,44m
"Chicago, IL: Chicago Midway International (MDW)",April 2017,44m
"Chicago, IL: Chicago Midway International (MDW)",May 2017,43m
"Chicago, IL: Chicago Midway International (MDW)",June 2017,43m
"Chicago, IL: Chicago Midway International (MDW)",July 2017,43m
"Chicago, IL: Chicago Midway International (MDW)",August 2017,43m
"Chicago, IL: Chicago Midway International (MDW)",September 2017,44m
"Chicago, IL: Chicago Midway International (MDW)",October 2017,44m
"Chicago, IL: Chicago Midway International (MDW)",November 2017,45m
"Chicago, IL: Chicago Midway International (MDW)",December 2017,45m
"Chicago, IL: Chicago Midway International (MDW)",January 2018,45m
"Chicago, IL: Chicago Midway International (MDW)",February 2018,45m
"Chicago, IL: Chicago Midway International (MDW)",March 2018,44m
"Chicago, IL: Chicago Midway International (MDW)",April 2018,44m
"Chicago, IL: Chicago Midway International (MDW)",May 2018,44m
"Chicago, IL: Chicago Midway International (MDW)",June 2018,44m
"Chicago, IL: Chicago Midway International (MDW)",July 2018,44m
"Chicago, IL: Chicago Midway International (MDW)",August 2018,44m
"Chicago, IL: Chicago Midway International (MDW)",September 2018,44m
"Chicago, IL: Chicago Midway International (MDW)",October 2018,44m
"Chicago, IL: Chicago Midway International (MDW)",November 2018,44m
"Chicago, IL: Chicago Midway International (MDW)",December 2018,45m
"Chicago, IL: Chicago Midway International (MDW)",January 2019,44m
"Chicago, IL: Chicago Midway International (MDW)",February 2019,45m
"Chicago, IL: Chicago Midway International (MDW)",March 2019,45m
"Chicago, IL: Chicago Midway International (MDW)",April 2019,45m
"Chicago, IL: Chicago Midway International (MDW)",May 2019,45m
"Chicago, IL: Chicago Midway International (MDW)",June 2019,45m
"Chicago, IL: Chicago Midway International (MDW)",July 2019,45m
"Chicago, IL: Chicago Midway International (MDW)",August 2019,44m
"Chicago, IL: Chicago Midway International (MDW)",September 2019,44m
"Chicago, IL: Chicago Midway International (MDW)",October 2019,43m
"Chicago, IL: Chicago Midway International (MDW)",November 2019,43m
"Chicago, IL: Chicago Midway International (MDW)",December 2019,42m
"Chicago, IL: Chicago Midway International (MDW)",January 2020,42m
"Chicago, IL: Chicago Midway International (MDW)",February 2020,42m
"Chicago, IL: Chicago Midway International (MDW)",March 2020,41m
"Chicago, IL: Chicago Midway International (MDW)",April 2020,41m
"Chicago, IL: Chicago Midway International (MDW)",May 2020,45m
"Chicago, IL: Chicago Midway International (MDW)",June 2020,45m
"Chicago, IL: Chicago Midway International (MDW)",July 2020,45m
"Chicago, IL: Chicago Midway International (MDW)",August 2020,45m
"Chicago, IL: Chicago Midway International (MDW)",September 2020,45m
"Chicago, IL: Chicago Midway International (MDW)",October 2020,45m
"Chicago, IL: Chicago Midway International (MDW)",November 2020,46m
"Chicago, IL: Chicago Midway International (MDW)",December 2020,47m
"Chicago, IL: Chicago Midway International (MDW)",January 2021,48m
"Chicago, IL: Chicago Midway International (MDW)",February 2021,49m
"Chicago, IL: Chicago Midway International (MDW)",March 2021,51m
"Chicago, IL: Chicago Midway International (MDW)",April 2021,52m
"Chicago, IL: Chicago Midway International (MDW)",May 2021,48m
"Chicago, IL: Chicago Midway International (MDW)",June 2021,49m
"Chicago, IL: Chicago Midway International (MDW)",July 2021,50m
"Chicago, IL: Chicago Midway International (MDW)",August 2021,50m
"Chicago, IL: Chicago Midway International (MDW)",September 2021,50m
"Chicago, IL: Chicago Midway International (MDW)",October 2021,51m
"Chicago, IL: Chicago Midway International (MDW)",November 2021,51m
"Chicago, IL: Chicago Midway International (MDW)",December 2021,49m
"Chicago, IL: Chicago Midway International (MDW)",January 2022,48m
"Chicago, IL: Chicago Midway International (MDW)",February 2022,47m
"Chicago, IL: Chicago Midway International (MDW)",March 2022,46m
"Chicago, IL: Chicago Midway International (MDW)",April 2022,46m
"Chicago, IL: Chicago Midway International (MDW)",May 2022,45m
"Chicago, IL: Chicago Midway International (MDW)",June 2022,45m
"Chicago, IL: Chicago Midway International (MDW)",July 2022,45m
"Chicago, IL: Chicago Midway International (MDW)",August 2022,45m
"Chicago, IL: Chicago Midway International (MDW)",September 2022,45m
"Chicago, IL: Chicago Midway International (MDW)",October 2022,45m
"Chicago, IL: Chicago Midway International (MDW)",November 2022,45m
"Chicago, IL: Chicago Midway International (MDW)",December 2022,45m
"Chicago, IL: Chicago Midway International (MDW)",January 2023,45m
"Chicago, IL: Chicago Midway International (MDW)",February 2023,45m
"Chicago, IL: Chicago Midway International (MDW)",March 2023,45m
"Chicago, IL: Chicago Midway International (MDW)",April 2023,45m
"Chicago, IL: Chicago Midway International (MDW)",May 2023,46m
"Chicago, IL: Chicago Midway International (MDW)",June 2023,45m
"Chicago, IL: Chicago Midway International (MDW)",July 2023,44m
"Chicago, IL: Chicago Midway International (MDW)",August 2023,43m
"Chicago, IL: Chicago Midway International (MDW)",September 2023,42m
"Chicago, IL: Chicago Midway International (MDW)",October 2023,41m
"Chicago, IL: Chicago Midway International (MDW)",November 2023,40m
"Chicago, IL: Chicago Midway International (MDW)",December 2023,40m
"Chicago, IL: Chicago Midway International (MDW)",January 2024,40m
"Chicago, IL: Chicago Midway International (MDW)",February 2024,39m
"Chicago, IL: Chicago Midway International (MDW)",March 2024,39m
"Chicago, IL: Chicago Midway International (MDW)",April 2024,38m
"Chicago, IL: Chicago Midway International (MDW)",May 2024,37m
"Chicago, IL: Chicago Midway International (MDW)",June 2024,36m
"Chicago, IL: Chicago Midway International (MDW)",July 2024,36m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2006,305m
"Fort Wayne, IN: Fort Wayne International (FWA)",January 2007,301m
"Fort Wayne, IN: Fort Wayne International (FWA)",February 2007,296m
"Fort Wayne, IN: Fort Wayne International (FWA)",March 2007,289m
"Fort Wayne, IN: Fort Wayne International (FWA)",April 2007,284m
"Fort Wayne, IN: Fort Wayne International (FWA)",May 2007,281m
"Fort Wayne, IN: Fort Wayne International (FWA)",June 2007,275m
"Fort Wayne, IN: Fort Wayne International (FWA)",July 2007,271m
"Fort Wayne, IN: Fort Wayne International (FWA)",August 2007,268m
"Fort Wayne, IN: Fort Wayne International (FWA)",September 2007,262m
"Fort Wayne, IN: Fort Wayne International (FWA)",October 2007,258m
"Fort Wayne, IN: Fort Wayne International (FWA)",November 2007,239m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2007,184m
"Fort Wayne, IN: Fort Wayne International (FWA)",January 2008,171m
"Fort Wayne, IN: Fort Wayne International (FWA)",February 2008,159m
"Fort Wayne, IN: Fort Wayne International (FWA)",March 2008,141m
"Fort Wayne, IN: Fort Wayne International (FWA)",April 2008,129m
"Fort Wayne, IN: Fort Wayne International (FWA)",May 2008,115m
"Fort Wayne, IN: Fort Wayne International (FWA)",June 2008,100m
"Fort Wayne, IN: Fort Wayne International (FWA)",July 2008,89m
"Fort Wayne, IN: Fort Wayne International (FWA)",August 2008,74m
"Fort Wayne, IN: Fort Wayne International (FWA)",September 2008,59m
"Fort Wayne, IN: Fort Wayne International (FWA)",October 2008,45m
"Fort Wayne, IN: Fort Wayne International (FWA)",November 2008,44m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2008,44m
"Fort Wayne, IN: Fort Wayne International (FWA)",January 2009,43m
"Fort Wayne, IN: Fort Wayne International (FWA)",February 2009,43m
"Fort Wayne, IN: Fort Wayne International (FWA)",March 2009,43m
"Fort Wayne, IN: Fort Wayne International (FWA)",April 2009,42m
"Fort Wayne, IN: Fort Wayne International (FWA)",May 2009,42m
"Fort Wayne, IN: Fort Wayne International (FWA)",June 2009,42m
"Fort Wayne, IN: Fort Wayne International (FWA)",July 2009,42m
"Fort Wayne, IN: Fort Wayne International (FWA)",August 2009,42m
"Fort Wayne, IN: Fort Wayne International (FWA)",September 2009,42m
"Fort Wayne, IN: Fort Wayne International (FWA)",October 2009,43m
"Fort Wayne, IN: Fort Wayne International (FWA)",November 2009,43m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2009,44m
"Fort Wayne, IN: Fort Wayne International (FWA)",January 2010,45m
"Fort Wayne, IN: Fort Wayne International (FWA)",February 2010,46m
"Fort Wayne, IN: Fort Wayne International (FWA)",March 2010,47m
"Fort Wayne, IN: Fort Wayne International (FWA)",April 2010,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",May 2010,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",June 2010,49m
"Fort Wayne, IN: Fort Wayne International (FWA)",July 2010,50m
"Fort Wayne, IN: Fort Wayne International (FWA)",August 2010,50m
"Fort Wayne, IN: Fort Wayne International (FWA)",September 2010,51m
"Fort Wayne, IN: Fort Wayne International (FWA)",October 2010,51m
"Fort Wayne, IN: Fort Wayne International (FWA)",November 2010,51m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2010,51m
"Fort Wayne, IN: Fort Wayne International (FWA)",January 2011,50m
"Fort Wayne, IN: Fort Wayne International (FWA)",February 2011,50m
"Fort Wayne, IN: Fort Wayne International (FWA)",March 2011,50m
"Fort Wayne, IN: Fort Wayne International (FWA)",April 2011,50m
"Fort Wayne, IN: Fort Wayne International (FWA)",May 2011,49m
"Fort Wayne, IN: Fort Wayne International (FWA)",June 2011,49m
"Fort Wayne, IN: Fort Wayne International (FWA)",July 2011,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",August 2011,49m
"Fort Wayne, IN: Fort Wayne International (FWA)",September 2011,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",October 2011,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",November 2011,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2011,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",January 2012,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",February 2012,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",March 2012,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",April 2012,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",May 2012,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",June 2012,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",July 2012,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",August 2012,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",September 2012,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",October 2012,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",November 2012,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2012,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",January 2013,49m
"Fort Wayne, IN: Fort Wayne International (FWA)",February 2013,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",March 2013,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",April 2013,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",May 2013,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",June 2013,48m
"Fort Wayne, IN: Fort Wayne International (FWA)",July 2013,49m
"Fort Wayne, IN: Fort Wayne International (FWA)",August 2013,49m
"Fort Wayne, IN: Fort Wayne International (FWA)",September 2013,51m
"Fort Wayne, IN: Fort Wayne International (FWA)",October 2013,52m
"Fort Wayne, IN: Fort Wayne International (FWA)",November 2013,53m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2013,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",January 2014,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",February 2014,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",March 2014,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",April 2014,56m
"Fort Wayne, IN: Fort Wayne International (FWA)",May 2014,56m
"Fort Wayne, IN: Fort Wayne International (FWA)",June 2014,56m
"Fort Wayne, IN: Fort Wayne International (FWA)",July 2014,57m
"Fort Wayne, IN: Fort Wayne International (FWA)",August 2014,57m
"Fort Wayne, IN: Fort Wayne International (FWA)",September 2014,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",October 2014,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",November 2014,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2014,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",January 2015,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",February 2015,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",March 2015,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",April 2015,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",May 2015,53m
"Fort Wayne, IN: Fort Wayne International (FWA)",June 2015,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",July 2015,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",August 2015,53m
"Fort Wayne, IN: Fort Wayne International (FWA)",September 2015,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",October 2015,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",November 2015,53m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2015,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",January 2016,53m
"Fort Wayne, IN: Fort Wayne International (FWA)",February 2016,53m
"Fort Wayne, IN: Fort Wayne International (FWA)",March 2016,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",April 2016,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",May 2016,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",June 2016,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",July 2016,53m
"Fort Wayne, IN: Fort Wayne International (FWA)",August 2016,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",September 2016,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",October 2016,53m
"Fort Wayne, IN: Fort Wayne International (FWA)",November 2016,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2016,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",January 2017,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",February 2017,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",March 2017,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",April 2017,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",May 2017,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",June 2017,56m
"Fort Wayne, IN: Fort Wayne International (FWA)",July 2017,56m
"Fort Wayne, IN: Fort Wayne International (FWA)",August 2017,56m
"Fort Wayne, IN: Fort Wayne International (FWA)",September 2017,56m
"Fort Wayne, IN: Fort Wayne International (FWA)",October 2017,56m
"Fort Wayne, IN: Fort Wayne International (FWA)",November 2017,56m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2017,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",January 2018,56m
"Fort Wayne, IN: Fort Wayne International (FWA)",February 2018,56m
"Fort Wayne, IN: Fort Wayne International (FWA)",March 2018,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",April 2018,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",May 2018,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",June 2018,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",July 2018,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",August 2018,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",September 2018,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",October 2018,55m
"Fort Wayne, IN: Fort Wayne International (FWA)",November 2018,54m
"Fort Wayne, IN: Fort Wayne International (FWA)",December 2018,54m
