Airport Code,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter: Q2-2024),Year,Quarter
SAV,Savannah,GA,383.27,590.52,2007,Q1
ROC,Rochester,NY,295.29,454.96,2007,Q1
HPN,White Plains,NY,293.41,452.06,2007,Q1
KOA,Kona,HI,154.20,237.58,2007,Q1
TYS,Knoxville,TN,446.57,688.04,2007,Q1
GSP,Greenville-Spartanburg,SC,470.84,725.44,2007,Q1
PNS,Pensacola,FL,385.07,593.28,2007,Q1
LIH,Lihue,HI,131.73,202.96,2007,Q1
COS,Colorado Springs,CO,384.00,591.64,2007,Q1
MYR,Myrtle Beach,SC,309.37,476.65,2007,Q1
FAT,Fresno,CA,375.52,578.58,2007,Q1
LIT,Little Rock,AR,327.28,504.25,2007,Q1
PWM,Portland,ME,359.78,554.31,2007,Q1
MSN,Madison,WI,419.68,646.60,2007,Q1
AVL,Asheville,NC,481.92,742.50,2007,Q1
BZN,Bozeman,MT,552.89,851.85,2007,Q1
PSP,Palm Springs,CA,380.94,586.93,2007,Q1
XNA,Fayetteville,AR,470.84,725.43,2007,Q1
SFB,Sanford,FL,131.90,203.22,2007,Q1
PIE,St. Petersburg,FL,152.94,235.63,2007,Q1
EUG,Eugene,OR,397.62,612.62,2007,Q1
ICT,Wichita,KS,386.37,595.29,2007,Q1
GSO,Greensboro/High Point,NC,399.50,615.51,2007,Q1
CID,Cedar Rapids/Iowa City,IA,399.59,615.66,2007,Q1
MDT,Harrisburg,PA,419.31,646.03,2007,Q1
HVN,New Haven,CT,387.82,597.53,2007,Q1
HSV,Huntsville,AL,521.65,803.72,2007,Q1
FSD,Sioux Falls,SD,431.67,665.09,2007,Q1
ISP,Islip,NY,250.77,386.37,2007,Q1
MHT,Manchester,NH,294.30,453.43,2007,Q1
BTV,Burlington,VT,354.96,546.89,2007,Q1
MAF,Midland/Odessa,TX,260.11,400.76,2007,Q1
VPS,Valparaiso,FL,557.76,859.36,2007,Q1
LEX,Lexington,KY,434.28,669.10,2007,Q1
JAN,Jackson/Vicksburg,MS,357.63,551.00,2007,Q1
ITO,Hilo,HI,111.38,171.60,2007,Q1
MFE,Mission/McAllen/Edinburg,TX,373.24,575.05,2007,Q1
ILM,Wilmington,NC,377.38,581.44,2007,Q1
SGF,Springfield,MO,429.63,661.95,2007,Q1
SBA,Santa Barbara,CA,425.21,655.14,2007,Q1
DAY,Dayton,OH,327.63,504.78,2007,Q1
CAE,Columbia,SC,466.39,718.58,2007,Q1
ATW,Appleton,WI,424.44,653.94,2007,Q1
FAR,Fargo,ND,460.20,709.04,2007,Q1
RDM,Bend/Redmond,OR,362.47,558.46,2007,Q1
LBB,Lubbock,TX,261.69,403.19,2007,Q1
ABE,Allentown/Bethlehem/Easton,PA,342.69,528.00,2007,Q1
MFR,Medford,OR,396.69,611.19,2007,Q1
CHA,Chattanooga,TN,415.30,639.87,2007,Q1
FAI,Fairbanks,AK,546.48,841.97,2007,Q1
HRL,Harlingen/San Benito,TX,242.52,373.66,2007,Q1
PSC,Pasco/Kennewick/Richland,WA,448.97,691.74,2007,Q1
SBN,South Bend,IN,332.00,511.52,2007,Q1
ACY,Atlantic City,NJ,211.53,325.91,2007,Q1
BQN,Aguadilla,PR,224.99,346.64,2007,Q1
FWA,Fort Wayne,IN,469.08,722.72,2007,Q1
MSO,Missoula,MT,456.88,703.92,2007,Q1
TTN,Trenton,NJ,222.88,343.39,2007,Q1
CAK,Akron,OH,270.13,416.19,2007,Q1
BIL,Billings,MT,408.82,629.88,2007,Q1
TLH,Tallahassee,FL,479.01,738.01,2007,Q1
PIA,Peoria,IL,344.65,531.01,2007,Q1
STT,Charlotte Amalie,VI,401.79,619.04,2007,Q1
AMA,Amarillo,TX,275.56,424.56,2007,Q1
BLI,Bellingham,WA,300.02,462.24,2007,Q1
BTR,Baton Rouge,LA,414.61,638.79,2007,Q1
FNT,Flint,MI,265.85,409.59,2007,Q1
FCA,Kalispell,MT,550.92,848.81,2007,Q1
ROA,Roanoke,VA,440.80,679.15,2007,Q1
CRP,Corpus Christi,TX,347.79,535.85,2007,Q1
BGR,Bangor,ME,451.73,695.99,2007,Q1
STS,Santa Rosa,CA,243.10,374.55,2007,Q1
GRB,Green Bay,WI,393.79,606.71,2007,Q1
CHO,Charlottesville,VA,504.03,776.57,2007,Q1
SBP,San Luis Obispo,CA,427.21,658.21,2007,Q1
SHV,Shreveport,LA,452.45,697.09,2007,Q1
TVC,Traverse City,MI,460.61,709.67,2007,Q1
RAP,Rapid City,SD,463.47,714.08,2007,Q1
MLI,Moline,IL,323.17,497.92,2007,Q1
AGS,Augusta,GA,547.11,842.94,2007,Q1
DAB,Daytona Beach,FL,319.66,492.50,2007,Q1
JAC,Jackson,WY,558.51,860.51,2007,Q1
BIS,Bismarck/Mandan,ND,425.66,655.83,2007,Q1
GNV,Gainesville,FL,502.12,773.62,2007,Q1
IDA,Idaho Falls,ID,457.61,705.04,2007,Q1
EYW,Key West,FL,443.71,683.63,2007,Q1
GPT,Gulfport/Biloxi,MS,368.14,567.20,2007,Q1
JNU,Juneau,AK,458.45,706.34,2007,Q1
MOB,Mobile,AL,539.53,831.26,2007,Q1
GJT,Grand Junction,CO,434.47,669.40,2007,Q1
LFT,Lafayette,LA,473.63,729.73,2007,Q1
MRY,Monterey,CA,457.04,704.18,2007,Q1
MLB,Melbourne,FL,495.90,764.04,2007,Q1
TRI,Bristol/Johnson City/Kingsport,TN,544.67,839.19,2007,Q1
BRO,Brownsville,TX,403.00,620.91,2007,Q1
BLV,Belleville,IL,189.79,292.41,2007,Q1
LCK,Columbus,OH,191.29,294.73,2007,Q1
AVP,Scranton/Wilkes-Barre,PA,409.05,630.24,2007,Q1
BFL,Bakersfield,CA,422.61,651.13,2007,Q1
CRW,Charleston/Dunbar,WV,460.93,710.17,2007,Q1
ILG,Wilmington,DE,317.36,488.97,2007,Q1
FAY,Fayetteville,NC,496.27,764.62,2007,Q1
BMI,Bloomington/Normal,IL,291.22,448.69,2007,Q1
GTF,Great Falls,MT,503.48,775.72,2007,Q1
ASE,Aspen,CO,588.00,905.95,2007,Q1
DRO,Durango,CO,456.37,703.14,2007,Q1
PSE,Ponce,PR,197.10,303.68,2007,Q1
MGM,Montgomery,AL,494.31,761.59,2007,Q1
RFD,Rockford,IL,231.52,356.71,2007,Q1
EVV,Evansville,IN,447.95,690.17,2007,Q1
MTJ,Montrose/Delta,CO,451.00,694.86,2007,Q1
STX,Christiansted,VI,436.80,672.98,2007,Q1
MOT,Minot,ND,594.97,916.68,2007,Q1
LRD,Laredo,TX,363.07,559.39,2007,Q1
OAJ,Jacksonville/Camp Lejeune,NC,506.49,780.37,2007,Q1
SCE,State College,PA,472.55,728.07,2007,Q1
DLH,Duluth,MN,418.68,645.07,2007,Q1
SGU,St. George,UT,210.08,323.67,2007,Q1
ACV,Arcata/Eureka,CA,393.54,606.33,2007,Q1
HDN,Hayden,CO,450.30,693.79,2007,Q1
LAN,Lansing,MI,348.64,537.16,2007,Q1
LNK,Lincoln,NE,390.78,602.08,2007,Q1
GRK,Killeen,TX,444.19,684.37,2007,Q1
SAF,Santa Fe,NM,673.90,1038.29,2007,Q1
HTS,Ashland,WV,356.00,548.50,2007,Q1
EGE,Eagle,CO,573.71,883.93,2007,Q1
GFK,Grand Forks,ND,562.52,866.69,2007,Q1
AZO,Kalamazoo,MI,460.22,709.06,2007,Q1
COU,Columbia,MO,513.42,791.04,2007,Q1
LBE,Latrobe,PA,407.22,627.42,2007,Q1
ELM,Elmira/Corning,NY,401.36,618.39,2007,Q1
SWF,Newburgh/Poughkeepsie,NY,235.05,362.14,2007,Q1
MLU,Monroe,LA,445.63,686.59,2007,Q1
BET,Bethel,AK,432.94,667.04,2007,Q1
KTN,Ketchikan,AK,441.06,679.55,2007,Q1
MBS,Saginaw/Bay City/Midland,MI,431.87,665.39,2007,Q1
ACK,Nantucket,MA,468.60,721.98,2007,Q1
AEX,Alexandria,LA,454.44,700.17,2007,Q1
RDD,Redding,CA,421.38,649.24,2007,Q1
LCH,Lake Charles,LA,463.60,714.28,2007,Q1
CPR,Casper,WY,508.08,782.80,2007,Q1
HLN,Helena,MT,603.93,930.48,2007,Q1
TOL,Toledo,OH,316.42,487.51,2007,Q1
ABI,Abilene,TX,384.71,592.73,2007,Q1
SCK,Stockton,CA,128.94,198.67,2007,Q1
CWA,Mosinee,WI,438.17,675.10,2007,Q1
LYH,Lynchburg,VA,563.54,868.25,2007,Q1
GUM,Guam,TT,1489.59,2295.05,2007,Q1
RST,Rochester,MN,400.00,616.29,2007,Q1
SUN,Sun Valley/Hailey/Ketchum,ID,299.69,461.74,2007,Q1
PHF,Newport News/Williamsburg,VA,273.03,420.66,2007,Q1
YUM,Yuma,AZ,395.75,609.74,2007,Q1
GRI,Grand Island,NE,437.88,674.64,2007,Q1
CMI,Champaign/Urbana,IL,437.90,674.68,2007,Q1
SIT,Sitka,AK,390.18,601.16,2007,Q1
PUW,Pullman,WA,398.83,614.48,2007,Q1
PSM,Portsmouth,NH,196.60,302.90,2007,Q1
ADQ,Kodiak,AK,648.80,999.61,2007,Q1
HHH,Hilton Head,SC,465.15,716.66,2007,Q1
FSM,Fort Smith,AR,465.19,716.72,2007,Q1
FLG,Flagstaff,AZ,438.27,675.25,2007,Q1
CLL,College Station/Bryan,TX,405.09,624.12,2007,Q1
TYR,Tyler,TX,430.61,663.45,2007,Q1
SPI,Springfield,IL,410.06,631.79,2007,Q1
ITH,Ithaca/Cortland,NY,458.44,706.33,2007,Q1
MVY,Martha's Vineyard,MA,451.00,694.87,2007,Q1
EWN,New Bern/Morehead/Beaufort,NC,433.66,668.16,2007,Q1
ERI,Erie,PA,365.15,562.59,2007,Q1
SBY,Salisbury,MD,361.86,557.53,2007,Q1
ACT,Waco,TX,395.52,609.39,2007,Q1
SJT,San Angelo,TX,392.76,605.13,2007,Q1
MHK,Manhattan/Ft. Riley,KS,537.53,828.18,2007,Q1
CSG,Columbus,GA,559.67,862.29,2007,Q1
TXK,Texarkana,AR,502.93,774.87,2007,Q1
CKB,Clarksburg/Fairmont,WV,644.77,993.41,2007,Q1
LAW,Lawton/Fort Sill,OK,476.26,733.78,2007,Q1
BGM,Binghamton,NY,421.85,649.96,2007,Q1
ROW,Roswell,NM,573.00,882.83,2007,Q1
VLD,Valdosta,GA,600.02,924.47,2007,Q1
HGR,Hagerstown,MD,413.17,636.58,2007,Q1
OME,Nome,AK,531.49,818.88,2007,Q1
LSE,La Crosse,WI,448.72,691.35,2007,Q1
MQT,Marquette,MI,409.11,630.33,2007,Q1
BPT,Beaumont/Port Arthur,TX,420.40,647.72,2007,Q1
GGG,Longview,TX,369.41,569.15,2007,Q1
OTZ,Kotzebue,AK,540.07,832.10,2007,Q1
GTR,Columbus,MS,566.05,872.13,2007,Q1
PPG,Pago Pago,TT,899.86,1386.43,2007,Q1
LWS,Lewiston,ID,412.75,635.93,2007,Q1
BRW,Barrow,AK,566.70,873.12,2007,Q1
PGV,Greenville,NC,393.00,605.51,2007,Q1
ABY,Albany,GA,647.58,997.73,2007,Q1
COD,Cody,WY,491.48,757.23,2007,Q1
DHN,Dothan,AL,722.34,1112.93,2007,Q1
STC,St. Cloud,MN,460.22,709.07,2007,Q1
SPS,Wichita Falls,TX,408.36,629.17,2007,Q1
GUC,Gunnison,CO,412.55,635.62,2007,Q1
GCC,Gillette,WY,585.71,902.42,2007,Q1
BJI,Bemidji,MN,542.02,835.10,2007,Q1
EAT,Wenatchee,WA,373.15,574.92,2007,Q1
SCC,Deadhorse,AK,473.43,729.42,2007,Q1
DIK,Dickinson,ND,552.90,851.87,2007,Q1
CIU,Sault Ste. Marie,MI,564.95,870.42,2007,Q1
SHR,Sheridan,WY,543.86,837.94,2007,Q1
GCK,Garden City,KS,519.09,799.77,2007,Q1
BQK,Brunswick,GA,560.94,864.25,2007,Q1
ART,Watertown,NY,470.63,725.10,2007,Q1
ABR,Aberdeen,SD,531.24,818.49,2007,Q1
ALW,Walla Walla,WA,392.31,604.44,2007,Q1
DLG,Dillingham,AK,639.57,985.39,2007,Q1
FLO,Florence,SC,476.06,733.48,2007,Q1
DBQ,Dubuque,IA,372.81,574.40,2007,Q1
YKM,Yakima,WA,400.99,617.81,2007,Q1
RHI,Rhinelander,WI,473.96,730.23,2007,Q1
TWF,Twin Falls,ID,300.50,462.99,2007,Q1
PLN,Pellston,MI,530.86,817.91,2007,Q1
IMT,Iron Mountain/Kingsfd,MI,350.17,539.52,2007,Q1
EAU,Eau Claire,WI,402.70,620.45,2007,Q1
SPN,Saipan,TT,1408.82,2170.59,2007,Q1
PQI,Presque Isle/Houlton,ME,544.23,838.50,2007,Q1
PIH,Pocatello,ID,316.64,487.86,2007,Q1
SUX,Sioux City,IA,527.20,812.26,2007,Q1
PSG,Petersburg,AK,377.22,581.19,2007,Q1
CMX,Hancock/Houghton,MI,499.45,769.51,2007,Q1
RKS,Rock Springs,WY,567.43,874.26,2007,Q1
AKN,King Salmon,AK,871.83,1343.25,2007,Q1
LAR,Laramie,WY,564.23,869.32,2007,Q1
BRD,Brainerd,MN,508.71,783.78,2007,Q1
RIW,Riverton/Lander,WY,597.06,919.90,2007,Q1
BTM,Butte,MT,603.77,930.24,2007,Q1
HYA,Hyannis,MA,427.00,657.89,2007,Q1
CYS,Cheyenne,WY,549.49,846.61,2007,Q1
ESC,Escanaba,MI,369.05,568.60,2007,Q1
SMX,Santa Maria,CA,331.11,510.14,2007,Q1
LBF,North Platte,NE,530.75,817.74,2007,Q1
HIB,Hibbing,MN,479.75,739.17,2007,Q1
VEL,Vernal,UT,364.88,562.17,2007,Q1
CDV,Cordova,AK,419.36,646.11,2007,Q1
EAR,Kearney,NE,494.12,761.30,2007,Q1
EKO,Elko,NV,384.00,591.64,2007,Q1
ALO,Waterloo,IA,457.66,705.13,2007,Q1
MEI,Meridian,MS,617.28,951.06,2007,Q1
OTH,North Bend/Coos Bay,OR,372.20,573.45,2007,Q1
WRG,Wrangell,AK,399.41,615.38,2007,Q1
CDC,Cedar City,UT,340.96,525.33,2007,Q1
JST,Johnstown,PA,496.36,764.75,2007,Q1
PIR,Pierre,SD,565.59,871.42,2007,Q1
VCT,Victoria,TX,478.67,737.50,2007,Q1
PRC,Prescott,AZ,358.71,552.68,2007,Q1
BFF,Scottsbluff,NE,530.49,817.33,2007,Q1
CNY,Moab,UT,408.00,628.61,2007,Q1
DEC,Decatur,IL,303.86,468.16,2007,Q1
INL,International Falls,MN,507.74,782.29,2007,Q1
APN,Alpena,MI,527.69,813.02,2007,Q1
SLN,Salina,KS,440.60,678.84,2007,Q1
OWB,Owensboro,KY,364.40,561.44,2007,Q1
ATY,Watertown,SD,546.00,841.23,2007,Q1
PAH,Paducah,KY,446.37,687.73,2007,Q1
JLN,Joplin,MO,411.33,633.75,2007,Q1
PIB,Hattiesburg/Laurel,MS,435.99,671.74,2007,Q1
JMS,Jamestown,ND,474.81,731.56,2007,Q1
LBL,Liberal,KS,566.21,872.37,2007,Q1
SHD,Staunton,VA,423.67,652.75,2007,Q1
ALS,Alamosa,CO,531.29,818.56,2007,Q1
YAK,Yakutat,AK,327.03,503.86,2007,Q1
HYS,Hays,KS,504.00,776.52,2007,Q1
CVN,Clovis,NM,394.67,608.07,2007,Q1
DRT,Del Rio,TX,461.21,710.60,2007,Q1
DVL,Devils Lake,ND,562.03,865.93,2007,Q1
DDC,Dodge City,KS,545.76,840.86,2007,Q1
BKW,Beckley,WV,462.69,712.88,2007,Q1
OGS,Ogdensburg,NY,419.14,645.77,2007,Q1
MWA,Marion/Herrin,IL,439.38,676.96,2007,Q1
IPL,El Centro,CA,227.59,350.66,2007,Q1
LWB,Lewisburg,WV,531.83,819.41,2007,Q1
LEB,Lebanon-Hanover,NH,453.14,698.15,2007,Q1
FOD,Fort Dodge,IA,421.50,649.42,2007,Q1
DUT,Unalaska,AK,772.38,1190.03,2007,Q1
PUB,Pueblo,CO,340.78,525.04,2007,Q1
CGI,Cape Girardeau,MO,333.39,513.66,2007,Q1
MKG,Muskegon,MI,397.68,612.71,2007,Q1
TBN,Fort Leonard Wood,MO,461.92,711.69,2007,Q1
MBL,Manistee/Ludington,MI,346.15,533.33,2007,Q1
MCW,Mason City,IA,405.22,624.33,2007,Q1
AUG,Augusta/Waterville,ME,457.57,704.99,2007,Q1
TEX,Telluride,CO,583.54,899.07,2007,Q1
BHB,Bar Harbor,ME,569.47,877.39,2007,Q1
PKB,Parkersburg,WV,448.60,691.17,2007,Q1
IWD,Ironwood,MI,394.84,608.33,2007,Q1
CEZ,Cortez,CO,575.57,886.80,2007,Q1
UIN,Quincy,IL,400.14,616.50,2007,Q1
RKD,Rockland,ME,469.76,723.78,2007,Q1
DUJ,DuBois,PA,420.11,647.27,2007,Q1
MGW,Morgantown,WV,576.56,888.32,2007,Q1
RUT,Rutland,VT,458.50,706.42,2007,Q1
ENA,Kenai,AK,678.58,1045.50,2007,Q1
TUP,Tupelo,MS,492.09,758.17,2007,Q1
LNS,Lancaster,PA,457.09,704.25,2007,Q1
PVC,Provincetown,MA,434.00,668.67,2007,Q1
BRL,Burlington,IA,379.96,585.41,2007,Q1
PGA,Page,AZ,565.67,871.53,2007,Q1
AIA,Alliance,NE,462.33,712.33,2007,Q1
AOO,Altoona,PA,343.78,529.67,2007,Q1
IRK,Kirksville,MO,333.75,514.22,2007,Q1
TVF,Thief River Falls,MN,437.28,673.72,2007,Q1
SDY,Sidney,MT,586.00,902.86,2007,Q1
HOM,Homer,AK,768.73,1184.40,2007,Q1
MSL,Muscle Shoals,AL,432.36,666.15,2007,Q1
GLH,Greenville,MS,542.44,835.75,2007,Q1
BFD,Bradford,PA,464.43,715.56,2007,Q1
SLK,Saranac Lake/Lake Placid,NY,363.00,559.28,2007,Q1
MCK,McCook,NE,372.00,573.15,2007,Q1
VQS,Vieques,PR,173.00,266.54,2007,Q1
CDR,Chadron,NE,450.15,693.56,2007,Q1
ADK,Adak Island,AK,799.96,1232.52,2007,Q1
SOW,Show Low,AZ,485.33,747.76,2007,Q1
MSS,Massena,NY,432.56,666.45,2007,Q1
MAZ,Mayaguez,PR,448.00,690.24,2007,Q1
MKK,Hoolehua,HI,370.65,571.06,2007,Q1
MKL,Jackson,TN,298.43,459.80,2007,Q1
VDZ,Valdez,AK,639.76,985.69,2007,Q1
HVR,Havre,MT,626.50,965.26,2007,Q1
OLF,Wolf Point,MT,553.50,852.79,2007,Q1
GDV,Glendive,MT,281.00,432.94,2007,Q1
PDT,Pendleton,OR,363.82,560.55,2007,Q1
CDB,Cold Bay,AK,736.57,1134.85,2007,Q1
JBR,Jonesboro,AR,463.00,713.35,2007,Q1
MCN,Macon,GA,586.73,903.99,2007,Q1
LNY,Lanai,HI,362.90,559.13,2007,Q1
JHM,Kapalua,HI,509.00,784.23,2007,Q1
SDP,Sandpoint,AK,866.38,1334.84,2007,Q1
UNK,Unalakleet,AK,1297.00,1998.32,2007,Q1
FNL,Fort Collins/Loveland,CO,148.96,229.50,2007,Q1
ANI,Aniak,AK,629.50,969.88,2007,Q1
CEC,Crescent City,CA,298.28,459.57,2007,Q1
AHN,Athens,GA,482.83,743.91,2007,Q1
AKB,Atka,AK,731.33,1126.78,2007,Q1
APF,Naples,FL,543.65,837.61,2007,Q1
BED,Bedford,MA,176.88,272.52,2007,Q1
BKX,Brookings,SD,555.80,856.33,2007,Q1
BLF,Princeton/Bluefield,WV,609.50,939.07,2007,Q1
CIC,Chico,CA,236.83,364.88,2007,Q1
CLD,Carlsbad,CA,279.37,430.42,2007,Q1
ELY,Ely,NV,484.00,745.71,2007,Q1
FHU,Fort Huachuca,AZ,348.25,536.56,2007,Q1
FKL,Franklin/Oil City,PA,389.30,599.81,2007,Q1
FMN,Farmington,NM,575.55,886.77,2007,Q1
FOE,Topeka,KS,180.94,278.77,2007,Q1
GBD,Great Bend,KS,523.00,805.80,2007,Q1
HII,Lake Havasu City,AZ,398.81,614.45,2007,Q1
HNM,Hana,HI,283.00,436.02,2007,Q1
HON,Huron,SD,506.69,780.66,2007,Q1
IFP,Bullhead City,AZ,122.61,188.92,2007,Q1
IGM,Kingman,AZ,239.78,369.43,2007,Q1
IPT,Williamsport,PA,475.91,733.24,2007,Q1
ISN,Williston,ND,568.47,875.86,2007,Q1
ISO,Kinston,NC,104.72,161.34,2007,Q1
IYK,Inyokern,CA,709.50,1093.15,2007,Q1
JHW,Jamestown,NY,403.78,622.11,2007,Q1
LMT,Klamath Falls,OR,468.17,721.32,2007,Q1
LWT,Lewistown,MT,580.00,893.62,2007,Q1
MCE,Merced,CA,397.67,612.69,2007,Q1
MCG,McGrath,AK,806.00,1241.82,2007,Q1
MKC,Kansas City,MO,94.50,145.60,2007,Q1
MLS,Miles City,MT,990.00,1525.31,2007,Q1
MOD,Modesto,CA,246.81,380.27,2007,Q1
MTH,Marathon,FL,461.19,710.56,2007,Q1
OXR,Oxnard/Ventura,CA,479.61,738.94,2007,Q1
PFN,Panama City,FL,646.57,996.19,2007,Q1
PLB,Plattsburgh,NY,485.75,748.41,2007,Q1
ROP,Rota,TT,1354.00,2086.14,2007,Q1
SNP,St. Paul,AK,774.20,1192.83,2007,Q1
SOP,Pinehurst/Southern Pines,NC,396.71,611.23,2007,Q1
VIS,Visalia,CA,355.08,547.08,2007,Q1
WRL,Worland,WY,530.73,817.71,2007,Q1
YNG,Youngstown/Warren,OH,145.12,223.60,2007,Q1
LAX,Los Angeles,CA,370.62,560.28,2007,Q2
ORD,Chicago-O'Hare,IL,324.45,490.48,2007,Q2
DEN,Denver,CO,311.75,471.29,2007,Q2
ATL,Atlanta,GA,357.30,540.15,2007,Q2
EWR,Newark,NJ,375.05,566.98,2007,Q2
BOS,Boston,MA,351.08,530.74,2007,Q2
SEA,Seattle,WA,352.64,533.09,2007,Q2
DFW,Dallas-DFW,TX,368.93,557.72,2007,Q2
MCO,Orlando,FL,252.11,381.12,2007,Q2
SFO,San Francisco,CA,433.73,655.69,2007,Q2
PHX,Phoenix,AZ,283.90,429.18,2007,Q2
LGA,New York-La Guardia,NY,315.80,477.41,2007,Q2
JFK,New York-JFK,NY,335.56,507.28,2007,Q2
LAS,Las Vegas,NV,246.65,372.87,2007,Q2
MSP,Minneapolis,MN,360.79,545.43,2007,Q2
IAH,Houston-Intercontinental,TX,376.38,568.99,2007,Q2
PHL,Philadelphia,PA,311.70,471.20,2007,Q2
FLL,Fort Lauderdale,FL,249.85,377.71,2007,Q2
SAN,San Diego,CA,316.90,479.07,2007,Q2
DTW,Detroit,MI,308.02,465.64,2007,Q2
DCA,Washington-Reagan National,DC,358.14,541.41,2007,Q2
TPA,Tampa,FL,266.59,403.01,2007,Q2
BWI,Baltimore,MD,265.23,400.95,2007,Q2
AUS,Austin,TX,344.07,520.15,2007,Q2
MIA,Miami,FL,326.30,493.28,2007,Q2
PDX,Portland,OR,331.81,501.62,2007,Q2
BNA,Nashville,TN,293.37,443.50,2007,Q2
CLT,Charlotte,NC,373.07,563.99,2007,Q2
SLC,Salt Lake City,UT,338.55,511.80,2007,Q2
RDU,Raleigh/Durham,NC,309.12,467.31,2007,Q2
SMF,Sacramento,CA,294.21,444.76,2007,Q2
HNL,Honolulu,HI,248.01,374.92,2007,Q2
MDW,Chicago-Midway,IL,219.25,331.45,2007,Q2
STL,St. Louis,MO,315.32,476.68,2007,Q2
SJC,San Jose,CA,280.73,424.39,2007,Q2
IAD,Washington-Dulles,DC,374.40,565.99,2007,Q2
MCI,Kansas City,MO,285.44,431.51,2007,Q2
DAL,Dallas-Love Field,TX,195.11,294.95,2007,Q2
IND,Indianapolis,IN,305.90,462.43,2007,Q2
CLE,Cleveland,OH,334.70,505.98,2007,Q2
SNA,Santa Ana,CA,328.78,497.03,2007,Q2
OAK,Oakland,CA,263.52,398.37,2007,Q2
SAT,San Antonio,TX,332.74,503.01,2007,Q2
MSY,New Orleans,LA,309.11,467.29,2007,Q2
PIT,Pittsburgh,PA,299.09,452.14,2007,Q2
SJU,San Juan,PR,306.63,463.55,2007,Q2
CVG,Cincinnati,OH,562.23,849.94,2007,Q2
CMH,Columbus,OH,298.98,451.97,2007,Q2
HOU,Houston-Hobby,TX,234.15,353.97,2007,Q2
RSW,Fort Myers,FL,258.83,391.28,2007,Q2
BDL,Hartford,CT,368.78,557.50,2007,Q2
PBI,West Palm Beach/Palm Beach,FL,266.21,402.43,2007,Q2
JAX,Jacksonville,FL,298.62,451.43,2007,Q2
ONT,Ontario,CA,286.75,433.49,2007,Q2
MKE,Milwaukee,WI,327.72,495.42,2007,Q2
BUR,Burbank,CA,245.87,371.69,2007,Q2
RIC,Richmond,VA,361.79,546.92,2007,Q2
CHS,Charleston,SC,433.31,655.05,2007,Q2
OMA,Omaha,NE,320.83,485.01,2007,Q2
BUF,Buffalo,NY,260.38,393.62,2007,Q2
MEM,Memphis,TN,386.35,584.06,2007,Q2
BOI,Boise,ID,298.58,451.38,2007,Q2
ABQ,Albuquerque,NM,313.07,473.28,2007,Q2
ORF,Norfolk,VA,365.71,552.86,2007,Q2
SDF,Louisville,KY,328.62,496.78,2007,Q2
ELP,El Paso,TX,297.06,449.08,2007,Q2
OKC,Oklahoma City,OK,348.11,526.25,2007,Q2
GRR,Grand Rapids,MI,417.35,630.93,2007,Q2
OGG,Kahului,HI,179.25,270.98,2007,Q2
ANC,Anchorage,AK,487.68,737.24,2007,Q2
GEG,Spokane,WA,301.01,455.04,2007,Q2
PVD,Providence,RI,304.97,461.03,2007,Q2
RNO,Reno,NV,268.33,405.64,2007,Q2
TUS,Tucson,AZ,311.81,471.37,2007,Q2
LGB,Long Beach,CA,264.22,399.44,2007,Q2
DSM,Des Moines,IA,396.45,599.33,2007,Q2
SYR,Syracuse,NY,358.02,541.24,2007,Q2
SRQ,Sarasota/Bradenton,FL,287.70,434.93,2007,Q2
TUL,Tulsa,OK,333.53,504.21,2007,Q2
ALB,Albany,NY,339.45,513.16,2007,Q2
BHM,Birmingham,AL,339.98,513.96,2007,Q2
SAV,Savannah,GA,385.30,582.47,2007,Q2
ROC,Rochester,NY,307.99,465.59,2007,Q2
HPN,White Plains,NY,285.85,432.13,2007,Q2
KOA,Kona,HI,168.63,254.93,2007,Q2
TYS,Knoxville,TN,442.18,668.46,2007,Q2
GSP,Greenville-Spartanburg,SC,469.35,709.54,2007,Q2
PNS,Pensacola,FL,379.80,574.16,2007,Q2
LIH,Lihue,HI,138.66,209.62,2007,Q2
COS,Colorado Springs,CO,378.89,572.79,2007,Q2
MYR,Myrtle Beach,SC,304.65,460.54,2007,Q2
FAT,Fresno,CA,398.96,603.12,2007,Q2
LIT,Little Rock,AR,336.21,508.26,2007,Q2
PWM,Portland,ME,373.69,564.92,2007,Q2
MSN,Madison,WI,422.72,639.04,2007,Q2
AVL,Asheville,NC,496.36,750.36,2007,Q2
BZN,Bozeman,MT,515.67,779.55,2007,Q2
PSP,Palm Springs,CA,397.54,600.98,2007,Q2
XNA,Fayetteville,AR,477.27,721.51,2007,Q2
SFB,Sanford,FL,141.14,213.37,2007,Q2
PIE,St. Petersburg,FL,159.35,240.90,2007,Q2
EUG,Eugene,OR,403.23,609.57,2007,Q2
ICT,Wichita,KS,378.01,571.45,2007,Q2
GSO,Greensboro/High Point,NC,387.35,585.57,2007,Q2
CID,Cedar Rapids/Iowa City,IA,405.86,613.56,2007,Q2
MDT,Harrisburg,PA,436.45,659.80,2007,Q2
HVN,New Haven,CT,369.76,558.99,2007,Q2
HSV,Huntsville,AL,493.88,746.62,2007,Q2
FSD,Sioux Falls,SD,428.10,647.18,2007,Q2
ISP,Islip,NY,227.85,344.45,2007,Q2
MHT,Manchester,NH,302.95,457.99,2007,Q2
