Year,Month,Revenue Passenger Miles,Airport Name
2013,4,3719699,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2013,5,3858598,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2013,6,4086064,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2013,7,4339069,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2013,8,4192518,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2013,9,3555986,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2013,10,3739617,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2013,11,3409216,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2013,12,3731183,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2014,1,3389368,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2014,2,3000276,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2014,3,3916904,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2014,4,3858263,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2014,5,4024656,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2014,6,4225958,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2014,7,4553226,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2014,8,4377655,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2014,9,3762223,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2014,10,3908967,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2014,11,3495785,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2014,12,3688465,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2015,1,3548493,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2015,2,3144993,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2015,3,3978645,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2015,4,3920101,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2015,5,4127176,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2015,6,4370203,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2015,7,4722411,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2015,8,4544879,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2015,9,3943601,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2015,10,4179521,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
