Popularity,date,Monthly Listeners,artist
90.0,2020-12-10,40203995,Rihanna
90.0,2020-12-11,40203995,Rihanna
89.0,2020-12-12,40153629,Rihanna
89.0,2020-12-13,40032006,Rihanna
89.0,2020-12-14,40032006,Rihanna
89.0,2020-12-15,40002288,Rihanna
89.0,2020-12-16,39964286,Rihanna
89.0,2020-12-17,39937682,Rihanna
89.0,2020-12-18,39895279,Rihanna
89.0,2020-12-19,39872061,Rihanna
89.0,2020-12-20,39824533,Rihanna
90.0,2020-12-21,39787895,Rihanna
90.0,2020-12-22,39777479,Rihanna
90.0,2020-12-23,39786005,Rihanna
90.0,2020-12-24,39802229,Rihanna
90.0,2020-12-25,39807310,Rihanna
90.0,2020-12-26,39806824,Rihanna
90.0,2020-12-27,39656251,Rihanna
90.0,2020-12-28,39529990,Rihanna
90.0,2020-12-29,39529990,Rihanna
90.0,2020-12-30,39600782,Rihanna
90.0,2020-12-31,39685215,Rihanna
90.0,2021-01-01,39797635,Rihanna
90.0,2021-01-02,40517122,Rihanna
90.0,2021-01-03,40685965,Rihanna
90.0,2021-01-04,40672389,Rihanna
90.0,2021-01-05,40699907,Rihanna
90.0,2021-01-06,40784381,Rihanna
90.0,2021-01-07,40855144,Rihanna
90.0,2021-01-08,40987294,Rihanna
90.0,2021-01-09,41040472,Rihanna
90.0,2021-01-10,41040472,Rihanna
90.0,2021-01-11,41189399,Rihanna
90.0,2021-01-12,41189399,Rihanna
90.0,2021-01-13,41270279,Rihanna
90.0,2021-01-14,41353835,Rihanna
90.0,2021-01-15,41447734,Rihanna
91.0,2021-01-16,41527014,Rihanna
91.0,2021-01-17,41660250,Rihanna
91.0,2021-01-18,41660250,Rihanna
91.0,2021-01-19,41732705,Rihanna
91.0,2021-01-20,41768871,Rihanna
91.0,2021-01-21,41768871,Rihanna
91.0,2021-01-22,41747857,Rihanna
91.0,2021-01-23,41788067,Rihanna
91.0,2021-01-24,42250255,Rihanna
91.0,2021-01-25,42250255,Rihanna
91.0,2021-01-26,42319760,Rihanna
91.0,2021-01-27,42354277,Rihanna
91.0,2021-01-28,42354846,Rihanna
91.0,2021-01-29,42327756,Rihanna
91.0,2021-01-30,41793214,Rihanna
91.0,2021-01-31,41680465,Rihanna
91.0,2021-02-01,41841935,Rihanna
91.0,2021-02-02,41909486,Rihanna
91.0,2021-02-03,41954172,Rihanna
91.0,2021-02-04,41990452,Rihanna
91.0,2021-02-05,42086554,Rihanna
91.0,2021-02-06,42290280,Rihanna
91.0,2021-02-07,42290280,Rihanna
92.0,2021-02-08,42395495,Rihanna
92.0,2021-02-09,42439047,Rihanna
92.0,2021-02-10,42459286,Rihanna
92.0,2021-02-11,42495835,Rihanna
92.0,2021-02-12,42550447,Rihanna
92.0,2021-02-13,42589155,Rihanna
92.0,2021-02-14,42648797,Rihanna
92.0,2021-02-15,42728286,Rihanna
92.0,2021-02-16,42891943,Rihanna
92.0,2021-02-17,42958381,Rihanna
92.0,2021-02-18,43100819,Rihanna
92.0,2021-02-19,43150207,Rihanna
92.0,2021-02-20,43150207,Rihanna
92.0,2021-02-21,43209738,Rihanna
92.0,2021-02-22,43396704,Rihanna
92.0,2021-02-23,43396704,Rihanna
92.0,2021-02-24,43441146,Rihanna
92.0,2021-02-25,43509492,Rihanna
92.0,2021-02-26,43584720,Rihanna
92.0,2021-02-27,43659321,Rihanna
92.0,2021-02-28,43744791,Rihanna
92.0,2021-03-01,43851388,Rihanna
92.0,2021-03-02,43943234,Rihanna
92.0,2021-03-03,44153100,Rihanna
92.0,2021-03-04,44153100,Rihanna
92.0,2021-03-05,44227549,Rihanna
92.0,2021-03-06,44227549,Rihanna
92.0,2021-03-07,44227549,Rihanna
92.0,2021-03-08,44471414,Rihanna
93.0,2021-03-09,44536442,Rihanna
93.0,2021-03-10,44606484,Rihanna
93.0,2021-03-11,44653210,Rihanna
93.0,2021-03-12,44687762,Rihanna
93.0,2021-03-13,44723014,Rihanna
93.0,2021-03-14,44759943,Rihanna
93.0,2021-03-15,44818518,Rihanna
93.0,2021-03-16,44730285,Rihanna
93.0,2021-03-17,44684336,Rihanna
93.0,2021-03-18,44684336,Rihanna
93.0,2021-03-19,44700801,Rihanna
93.0,2021-03-20,44702445,Rihanna
93.0,2021-03-21,44698941,Rihanna
93.0,2021-03-22,44707079,Rihanna
93.0,2021-03-23,44689037,Rihanna
93.0,2021-03-24,44708452,Rihanna
93.0,2021-03-25,44688422,Rihanna
93.0,2021-03-26,44659276,Rihanna
93.0,2021-03-27,44614337,Rihanna
93.0,2021-03-28,44539007,Rihanna
93.0,2021-03-29,44436138,Rihanna
93.0,2021-03-30,44288637,Rihanna
92.0,2021-03-31,44320618,Rihanna
92.0,2021-04-01,44368011,Rihanna
92.0,2021-04-02,44404295,Rihanna
92.0,2021-04-03,44476040,Rihanna
92.0,2021-04-04,44518586,Rihanna
92.0,2021-04-05,44487002,Rihanna
92.0,2021-04-06,44509302,Rihanna
92.0,2021-04-07,44540952,Rihanna
92.0,2021-04-08,44540952,Rihanna
92.0,2021-04-09,44559372,Rihanna
92.0,2021-04-10,44581039,Rihanna
92.0,2021-04-11,44609266,Rihanna
92.0,2021-04-12,44628183,Rihanna
92.0,2021-04-13,44734022,Rihanna
92.0,2021-04-14,44797732,Rihanna
92.0,2021-04-15,44842148,Rihanna
92.0,2021-04-16,44842148,Rihanna
92.0,2021-04-17,44842148,Rihanna
92.0,2021-04-18,44842148,Rihanna
92.0,2021-04-19,44995521,Rihanna
92.0,2021-04-20,45029463,Rihanna
92.0,2021-04-21,45029463,Rihanna
92.0,2021-04-22,45083209,Rihanna
92.0,2021-04-23,45105630,Rihanna
92.0,2021-04-24,45139980,Rihanna
92.0,2021-04-25,45185118,Rihanna
92.0,2021-04-26,45222141,Rihanna
92.0,2021-04-27,45261085,Rihanna
92.0,2021-04-28,45265200,Rihanna
92.0,2021-04-29,45256153,Rihanna
92.0,2021-04-30,45239173,Rihanna
92.0,2021-05-01,45207185,Rihanna
92.0,2021-05-02,45246270,Rihanna
92.0,2021-05-03,45246270,Rihanna
92.0,2021-05-04,45190143,Rihanna
92.0,2021-05-05,45190143,Rihanna
92.0,2021-05-06,45195520,Rihanna
92.0,2021-05-07,45206797,Rihanna
92.0,2021-05-08,45212046,Rihanna
92.0,2021-05-09,45217845,Rihanna
92.0,2021-05-10,45201538,Rihanna
92.0,2021-05-11,45172565,Rihanna
93.0,2021-05-12,45170646,Rihanna
93.0,2021-05-13,45180627,Rihanna
93.0,2021-05-14,45315910,Rihanna
93.0,2021-05-15,45315910,Rihanna
93.0,2021-05-16,45393985,Rihanna
93.0,2021-05-17,45393985,Rihanna
93.0,2021-05-18,45441681,Rihanna
93.0,2021-05-19,45441681,Rihanna
93.0,2021-05-20,45466590,Rihanna
93.0,2021-05-21,45493549,Rihanna
93.0,2021-05-22,45528017,Rihanna
93.0,2021-05-23,45528017,Rihanna
93.0,2021-05-24,45541494,Rihanna
93.0,2021-05-25,45565276,Rihanna
93.0,2021-05-26,45603431,Rihanna
93.0,2021-05-27,45603431,Rihanna
93.0,2021-05-28,45602177,Rihanna
93.0,2021-05-29,45602177,Rihanna
93.0,2021-05-30,45604802,Rihanna
93.0,2021-05-31,45639996,Rihanna
93.0,2021-06-01,45679593,Rihanna
93.0,2021-06-02,45705893,Rihanna
93.0,2021-06-03,45754966,Rihanna
93.0,2021-06-04,45754966,Rihanna
93.0,2021-06-05,45833365,Rihanna
92.0,2021-06-06,45863581,Rihanna
92.0,2021-06-07,45906583,Rihanna
92.0,2021-06-08,45906583,Rihanna
92.0,2021-06-09,45936031,Rihanna
92.0,2021-06-10,45939838,Rihanna
92.0,2021-06-11,45923087,Rihanna
92.0,2021-06-12,45906796,Rihanna
92.0,2021-06-13,45909906,Rihanna
92.0,2021-06-14,45906957,Rihanna
92.0,2021-06-15,45913329,Rihanna
92.0,2021-06-16,45858788,Rihanna
92.0,2021-06-17,45858788,Rihanna
92.0,2021-06-18,45842373,Rihanna
92.0,2021-06-19,45814870,Rihanna
92.0,2021-06-20,45766553,Rihanna
92.0,2021-06-21,45709698,Rihanna
92.0,2021-06-22,45638808,Rihanna
92.0,2021-06-23,45580769,Rihanna
92.0,2021-06-24,45565547,Rihanna
92.0,2021-06-25,45565387,Rihanna
92.0,2021-06-26,45565387,Rihanna
92.0,2021-06-27,45561186,Rihanna
92.0,2021-06-28,45429417,Rihanna
92.0,2021-06-29,45319459,Rihanna
92.0,2021-06-30,45319459,Rihanna
92.0,2021-07-01,45211325,Rihanna
92.0,2021-07-02,45211325,Rihanna
92.0,2021-07-03,45182622,Rihanna
92.0,2021-07-04,45137017,Rihanna
92.0,2021-07-05,45085379,Rihanna
92.0,2021-07-06,45056596,Rihanna
92.0,2021-07-07,45064863,Rihanna
92.0,2021-07-08,45031204,Rihanna
92.0,2021-07-09,44971821,Rihanna
92.0,2021-07-10,44947810,Rihanna
92.0,2021-07-11,44933188,Rihanna
92.0,2021-07-12,44847104,Rihanna
92.0,2021-07-13,44847104,Rihanna
92.0,2021-07-14,44832049,Rihanna
92.0,2021-07-15,44832049,Rihanna
92.0,2021-07-16,44842615,Rihanna
92.0,2021-07-17,44814137,Rihanna
92.0,2021-07-18,44814210,Rihanna
92.0,2021-07-19,44872367,Rihanna
92.0,2021-07-20,44872367,Rihanna
92.0,2021-07-21,44867612,Rihanna
92.0,2021-07-22,44865975,Rihanna
92.0,2021-07-23,44884643,Rihanna
92.0,2021-07-24,44884643,Rihanna
92.0,2021-07-25,44886324,Rihanna
92.0,2021-07-26,44918872,Rihanna
92.0,2021-07-27,44954004,Rihanna
92.0,2021-07-28,44954004,Rihanna
92.0,2021-07-29,44991519,Rihanna
92.0,2021-07-30,44977471,Rihanna
92.0,2021-07-31,44977471,Rihanna
92.0,2021-08-01,44955239,Rihanna
92.0,2021-08-02,44955239,Rihanna
92.0,2021-08-03,44856299,Rihanna
92.0,2021-08-04,44856299,Rihanna
92.0,2021-08-05,44884836,Rihanna
92.0,2021-08-06,44912045,Rihanna
92.0,2021-08-07,44932082,Rihanna
92.0,2021-08-08,44951183,Rihanna
92.0,2021-08-09,44938578,Rihanna
92.0,2021-08-10,44938578,Rihanna
92.0,2021-08-11,44984324,Rihanna
92.0,2021-08-12,44999899,Rihanna
92.0,2021-08-13,44999899,Rihanna
92.0,2021-08-14,45015248,Rihanna
92.0,2021-08-15,45016188,Rihanna
92.0,2021-08-16,45016188,Rihanna
92.0,2021-08-17,45007495,Rihanna
